"","chess_data_slim$Federation","Standard_Rating_mean","Standard_Rating_n","Standard_Rating_max","Standard_Rating_min","Rapid_rating_mean","Rapid_rating_n","Rapid_rating_max","Rapid_rating_min","Blitz_rating_mean","Blitz_rating_n","Blitz_rating_max","Blitz_rating_min"
"1","ALB",1971,1,1971,1971,1788,1,1788,1788,1886,1,1886,1886
"2","ALG",1900,1,1900,1900,1814,1,1814,1814,1869,1,1869,1869
"3","ARG",1929.5,2,1940,1919,1895.5,2,1982,1809,1851.5,2,1960,1743
"4","ARM",2285,1,2285,2285,2282,1,2282,2282,2275,1,2275,2275
"5","AUS",1925.5,4,2062,1841,1851,4,2078,1682,1855.25,4,2039,1725
"6","AUT",1975,1,1975,1975,2002,1,2002,2002,1957,1,1957,1957
"7","AZE",2103.375,8,2279,1871,1950,8,2144,1623,1953.75,8,2109,1656
"8","BAN",2049,2,2114,1984,2059,2,2086,2032,2030.5,2,2053,2008
"9","BEL",2136,2,2258,2014,2161.5,2,2245,2078,2071,2,2277,1865
"10","BIH",2025,1,2025,2025,2014,1,2014,2014,1998,1,1998,1998
"11","BLR",2145.3,10,2373,2023,2093.6,10,2299,1941,2041.7,10,2271,1881
"12","BOL",1888,1,1888,1888,1931,1,1931,1931,2020,1,2020,2020
"13","BRA",1944.5,4,1987,1914,1951,4,2097,1838,1816.75,4,1959,1649
"14","BRU",1954,1,1954,1954,1927,1,1927,1927,1974,1,1974,1974
"15","BUL",2111.125,8,2322,1935,2140.25,8,2319,1965,2087.75,8,2248,1961
"16","CAN",2225,1,2225,2225,2237,1,2237,2237,2217,1,2217,2217
"17","CHI",1909,2,1994,1824,1889.5,2,1982,1797,1912.5,2,2029,1796
"18","CHN",2140.83333333333,6,2207,1896,2118.33333333333,6,2239,1981,2080.66666666667,6,2202,1908
"19","COL",2001.875,8,2257,1817,2031,8,2312,1784,2003.25,8,2240,1791
"20","CRC",1868.5,2,1907,1830,1750,2,1799,1701,1697.5,2,1723,1672
"21","CRO",2104,1,2104,2104,2158,1,2158,2158,2113,1,2113,2113
"22","CUB",2041,2,2147,1935,2090.5,2,2123,2058,2041,2,2234,1848
"23","CZE",2146,1,2146,2146,2075,1,2075,2075,1928,1,1928,1928
"24","ECU",2359,1,2359,2359,2304,1,2304,2304,2214,1,2214,2214
"25","EGY",1995,4,2182,1832,1895.25,4,2139,1664,1883,4,2072,1698
"26","ENG",2127.33333333333,3,2168,2101,2085.33333333333,3,2116,2061,2013,3,2102,1929
"27","ESA",2132,1,2132,2132,2086,1,2086,2086,2080,1,2080,2080
"28","ESP",2070,1,2070,2070,2016,1,2016,2016,2034,1,2034,2034
"29","EST",1979,3,2037,1905,1953.33333333333,3,1995,1904,1849.33333333333,3,1889,1778
"30","FID",2125,1,2125,2125,2112,1,2112,2112,2121,1,2121,2121
"31","FRA",2034.25,4,2171,1854,2048.25,4,2246,1877,2067.25,4,2288,1868
"32","GEO",2205.35714285714,14,2500,1932,2121.57142857143,14,2432,1740,2087.42857142857,14,2437,1798
"33","GER",2092.5,2,2193,1992,2081,2,2160,2002,2056.5,2,2099,2014
"34","GRE",2035.33333333333,3,2095,1956,2030,3,2105,1947,2033,3,2106,1933
"35","HUN",2425,2,2675,2175,2397,2,2646,2148,2461,2,2736,2186
"36","INA",2090,8,2360,1915,2040.5,8,2344,1809,2068.625,8,2224,1854
"37","IND",2086.14285714286,7,2202,1888,1878.71428571429,7,2075,1569,1907.28571428571,7,2076,1619
"38","IRI",2062.4,5,2198,1908,1986,5,2167,1801,1983,5,2193,1843
"39","IRQ",1931.5,2,2002,1861,1995.5,2,2094,1897,1971.5,2,2037,1906
"40","ITA",2052.6,5,2099,2017,2021.6,5,2065,1926,2017.2,5,2086,1965
"41","JAM",2053,1,2053,2053,1976,1,1976,1976,1970,1,1970,1970
"42","JOR",1964,1,1964,1964,1941,1,1941,1941,1857,1,1857,1857
"43","JPN",1826,1,1826,1826,1839,1,1839,1839,1813,1,1813,1813
"44","KAZ",2093.08333333333,12,2245,1884,2014.08333333333,12,2208,1847,2002.66666666667,12,2233,1873
"45","LAT",2198.5,2,2233,2164,2118,2,2139,2097,2148.5,2,2157,2140
"46","LBN",2003.33333333333,3,2121,1861,1981.33333333333,3,2148,1876,1977.66666666667,3,2090,1894
"47","LTU",2208.75,4,2538,2040,2087.25,4,2394,1956,2092,4,2435,1845
"48","MAR",1853,1,1853,1853,1788,1,1788,1788,1769,1,1769,1769
"49","MAS",2087,1,2087,2087,1869,1,1869,1869,1928,1,1928,1928
"50","MDA",2161,1,2161,2161,2121,1,2121,2121,2123,1,2123,2123
"51","MEX",1862.5,2,1868,1857,1826.5,2,1854,1799,1794.5,2,1860,1729
"52","MGL",2068.45454545455,11,2356,1837,1913.27272727273,11,2311,1549,1899.27272727273,11,2295,1610
"53","MNC",1946,1,1946,1946,1653,1,1653,1653,2052,1,2052,2052
"54","MYA",2078,2,2095,2061,2056.5,2,2077,2036,2015.5,2,2023,2008
"55","NCA",1957,1,1957,1957,1927,1,1927,1927,1784,1,1784,1784
"56","NED",2259,1,2259,2259,2383,1,2383,2383,2234,1,2234,2234
"57","PER",2158.5,2,2244,2073,2126.5,2,2204,2049,2108,2,2168,2048
"58","PHI",1941.25,4,2007,1889,1880.75,4,1984,1786,1879.75,4,1980,1741
"59","POL",2165.375,8,2344,1981,2076.375,8,2347,1893,2095,8,2279,1966
"60","POR",2016,5,2103,1903,2008,5,2120,1881,1972.6,5,2115,1781
"61","QAT",2423,1,2423,2423,2404,1,2404,2404,2378,1,2378,2378
"62","ROU",2036.83333333333,6,2131,1847,2024.16666666667,6,2174,1804,2035.5,6,2215,1831
"63","RSA",1817,1,1817,1817,1933,1,1933,1933,1912,1,1912,1912
"64","RUS",2113.54117647059,170,2483,1849,2043.44705882353,170,2516,1579,2015.95294117647,170,2519,1647
"65","SCO",1843,1,1843,1843,1811,1,1811,1811,1773,1,1773,1773
"66","SGP",1984,3,2079,1899,1952.66666666667,3,2063,1895,1958,3,2021,1899
"67","SLO",2071.4,5,2172,2001,2020,5,2191,1871,2041.6,5,2171,1939
"68","SRB",2120,2,2319,1921,2077.5,2,2272,1883,2054,2,2263,1845
"69","SUI",2243,1,2243,2243,2213,1,2213,2213,2198,1,2198,2198
"70","SVK",2064,2,2178,1950,2020,2,2064,1976,1966,2,2122,1810
"71","SWE",1946,1,1946,1946,2006,1,2006,2006,1990,1,1990,1990
"72","SYR",1870,1,1870,1870,1870,1,1870,1870,1869,1,1869,1869
"73","TKM",2009,3,2139,1899,2082.66666666667,3,2209,1955,2045.33333333333,3,2163,1913
"74","TUR",1940.66666666667,3,2033,1839,1931.33333333333,3,2016,1802,1987.33333333333,3,2026,1933
"75","UAE",1885,1,1885,1885,1844,1,1844,1844,1817,1,1817,1817
"76","UKR",2124.34782608696,23,2360,1890,2080.78260869565,23,2222,1933,2069.30434782609,23,2240,1931
"77","USA",2206.42857142857,7,2374,1896,2171.71428571429,7,2402,1830,2179.57142857143,7,2361,1871
"78","UZB",2172.33333333333,3,2274,2085,2189.66666666667,3,2325,2082,2188.66666666667,3,2258,2144
"79","VEN",1991.69230769231,13,2150,1899,1965.07692307692,13,2121,1820,1938.38461538462,13,2081,1761
"80","VIE",1950.36363636364,11,2195,1822,1898.36363636364,11,2216,1708,1904.27272727273,11,2340,1666
"81","ZAM",1839,1,1839,1839,1827,1,1827,1827,1814,1,1814,1814
